tree_ID,x,y
1,1.1,0.600000000000001
2,0.4,5.7
3,0.2,8.6
4,0.5,8.8
5,3.4,8.3
6,3.6,6.6
7,5.9,4.8
8,6.6,8.2
9,7.3,7.1
10,4.2,17.7
11,4.5,20.2
13,8.7,19.6
14,8.7,13.7
15,10.7,18.6
16,10,14.4
17,11.4,15
18,10.3,14.3
19,10.5,12.6
20,11.1,22.9
21,5.1,23.9
22,4.3,24.4
23,15.3,24.9
24,3.9,24.3
25,14,24.5
26,14.6,26.4
27,2,28.8
28,2,30.6
30,10.9,33.1
31,1.2,20.9
32,1.1,35.7
33,10.3,35.3
34,11,35.9
35,7.9,40.6
36,3.2,41.2
37,0,37.6
38,2.6,44.2
39,7.2,48.4
40,10.3,42
41,10.4,40.6
42,8.3,39.5
43,12.3,45.2
44,11.4,42
45,15.5,46.1
46,16.8,45.4
47,16.6,45.6
48,13.8,43.7
49,14.9,42.1
50,17.7,40.3
51,20.3,44.5
52,20,46.1
53,20.5,47.7
54,23.1,47.2
55,23.8,46.5
56,23.2,43.9
57,21.5,43.4
58,25.3,42.5
59,22,38.2
60,23.2,46.2
61,23.3,37.6
62,32.5,35.7
63,26.2,39.6
64,25.6,42.3
65,27.2,42.3
66,27.9,38.9
67,28.2,36.7
68,29.2,35
69,29.8,37.1
70,30.1,42.8
72,32.5,46
73,28.1,49.7
74,28,49.5
75,35,50
76,40,49.5
77,41.7,48.5
78,37.5,45.1
79,37.5,44.9
80,43,45.3
81,45.7,47.2
82,45.3,48.8
83,47.4,48.5
84,48.1,46.3
85,40,46.4
86,44.8,42
87,45.2,38.4
88,43,37.2
89,44.4,34
90,47.3,32.2
91,48.9,30
92,46,30.7
93,39.6,28.7
94,35.5,40.2
95,36.9,38.4
96,34.3,34.7
97,30.1,31.5
98,32.3,30.8
99,32.9,29.6
100,36.1,31.2
101,35.8,31.7
102,35.8,29.2
103,35.7,27
104,36.4,26.2
105,40.4,23
106,36,20.1
107,41.8,23.7
108,26.1,27.1
109,22.5,32.1
110,21.8,31.3
111,19.8,30.9
112,18.7,29
113,18.1,25.5
114,18.5,24.2
115,17.2,24.1
116,18,33
117,19.5,33.7
118,14.3,34
119,18,19.4
120,18.4,19.5
121,20.4,19.1
122,20.7,20.3
123,22.1,23.1
124,21.4,23.8
125,25,21.4
126,25.3,21
127,26.8,23.8
128,24,28.1
129,24.9,28.6
130,32.1,22.2
131,29.8,18.1
132,20.8,16
133,24.3,17
134,22.6,13.6
135,22.2,10.7
136,25,10.5
137,27.9,8.6
138,30,11.5
139,31.8,9.4
140,34,12.4
141,35.1,12.5
142,35.2,12.8
143,34.9,10
144,39.7,15
145,39.7,15.3
146,45.9,17.6
147,45.6,20.7
148,45.1,20.3
149,45.7,20.4
150,49.6,25.3
152,49.4,16.5
153,49,15.7
154,44.8,11.8
155,48.2,12.6
156,45.9,8.7
157,49,6.8
158,49.1,3.2
159,42.5,1.3
160,41.6,2.6
161,40.8,7.9
162,38.4,3.9
163,39.9,8.1
164,35.5,5.9
165,35.7,8.6
166,34.1,6.3
167,32.1,5.4
168,31.3,5
169,37.5,2.2
170,29.8,2.8
171,22.6,4.2
173,18.2,8.8
174,13.9,6.7
175,14,0.299999999999997
176,12.6,4.8
177,11.6,1.8
178,7,0
12A,6.1,17
12B,6.9,17
151a,49.9,21.5
151b,50,21.1
29A,7.2,29.4
29B,7.6,30.1
